Distance (m),Longitude,Latitude,Elevation (m)
74446.93612,-123.7296308,45.96044317,332
74598.25103,-123.7275474,45.96052654,358
74749.56594,-123.7254639,45.96060991,382
74900.88085,-123.7233805,45.96069329,361
75052.19576,-123.721297,45.96077666,363
75203.51067,-123.7192135,45.96086003,374
75354.82558,-123.7171301,45.9609434,363
75506.14049,-123.7150466,45.96102677,362
75657.4554,-123.7129632,45.96111014,352
75808.77031,-123.7108797,45.96119352,356
75960.08522,-123.7087962,45.96127689,356
76111.40013,-123.7067128,45.96136026,367
76262.71505,-123.7046293,45.96144363,382
76414.02996,-123.7025459,45.961527,403
76565.34487,-123.7004624,45.96161038,419
76716.65978,-123.698379,45.96169375,435
76867.97469,-123.6962955,45.96177712,454
77019.2896,-123.694212,45.96186049,470
77170.60451,-123.6921286,45.96194386,490
77321.91942,-123.6900451,45.96202723,507
77473.23433,-123.6879617,45.96211061,541
77624.54924,-123.6858782,45.96219398,593
77775.86415,-123.6837947,45.96227735,617
77927.17906,-123.6817113,45.96236072,623
78078.49397,-123.6796278,45.96244409,773
78229.80889,-123.6775444,45.96252746,838
78381.1238,-123.6754609,45.96261084,905
78532.43871,-123.6733774,45.96269421,905
78683.75362,-123.671294,45.96277758,805
78835.06853,-123.6692105,45.96286095,720
78986.38344,-123.6671271,45.96294432,657
79137.69835,-123.6650436,45.9630277,635
79289.01326,-123.6629601,45.96311107,676
79440.32817,-123.6608767,45.96319444,754
79591.64308,-123.6587932,45.96327781,744
79742.95799,-123.6567098,45.96336118,674
79894.2729,-123.6546263,45.96344455,614
80045.58782,-123.6525428,45.96352793,553
80196.90273,-123.6504594,45.9636113,524
80348.21764,-123.6483759,45.96369467,517
80499.53255,-123.6462925,45.96377804,508
80650.84746,-123.644209,45.96386141,516
80802.16237,-123.6421256,45.96394479,506
80953.47728,-123.6400421,45.96402816,489
81104.79219,-123.6379586,45.96411153,475
81256.1071,-123.6358752,45.9641949,458
81407.42201,-123.6337917,45.96427827,456
81558.73692,-123.6317083,45.96436164,476
81710.05183,-123.6296248,45.96444502,496
81861.36674,-123.6275413,45.96452839,469
82012.68166,-123.6254579,45.96461176,443
82163.99657,-123.6233744,45.96469513,419
82315.31148,-123.621291,45.9647785,408
82466.62639,-123.6192075,45.96486187,406
82617.9413,-123.617124,45.96494525,381
82769.25621,-123.6150406,45.96502862,371
82920.57112,-123.6129571,45.96511199,351
83071.88603,-123.6108737,45.96519536,337
83223.20094,-123.6087902,45.96527873,349
83374.51585,-123.6067067,45.96536211,340
83525.83076,-123.6046233,45.96544548,343
83677.14567,-123.6025398,45.96552885,332
83828.46059,-123.6004564,45.96561222,312
83979.7755,-123.5983729,45.96569559,307
84131.09041,-123.5962894,45.96577896,325
84282.40532,-123.594206,45.96586234,328
84433.72023,-123.5921225,45.96594571,317
84585.03514,-123.5900391,45.96602908,281
84736.35005,-123.5879556,45.96611245,325
84887.66496,-123.5858722,45.96619582,347
85038.97987,-123.5837887,45.9662792,338
85190.29478,-123.5817052,45.96636257,339
85341.60969,-123.5796218,45.96644594,363
85492.9246,-123.5775383,45.96652931,393
85644.23952,-123.5754549,45.96661268,388
85795.55443,-123.5733714,45.96669605,362
85946.86934,-123.5712879,45.96677943,337
86098.18425,-123.5692045,45.9668628,303
86249.49916,-123.567121,45.96694617,276
86400.81407,-123.5650376,45.96702954,262
86552.12898,-123.5629541,45.96711291,248
86703.44389,-123.5608706,45.96719628,251
86854.7588,-123.5587872,45.96727966,269
87006.07371,-123.5567037,45.96736303,294
87157.38862,-123.5546203,45.9674464,313
87308.70353,-123.5525368,45.96752977,321
87460.01844,-123.5504533,45.96761314,340
87611.33336,-123.5483699,45.96769652,366
87762.64827,-123.5462864,45.96777989,394
87913.96318,-123.544203,45.96786326,427
88065.27809,-123.5421195,45.96794663,426
88216.593,-123.540036,45.96803,406
88367.90791,-123.5379526,45.96811337,405
88519.22282,-123.5358691,45.96819675,391
88670.53773,-123.5337857,45.96828012,361
88821.85264,-123.5317022,45.96836349,347
88973.16755,-123.5296188,45.96844686,357
89124.48246,-123.5275353,45.96853023,358
89275.79737,-123.5254518,45.96861361,338
89427.11229,-123.5233684,45.96869698,314
89578.4272,-123.5212849,45.96878035,295
89729.74211,-123.5192015,45.96886372,315
89881.05702,-123.517118,45.96894709,320
90032.37193,-123.5150345,45.96903046,308
90183.68684,-123.5129511,45.96911384,277
90335.00175,-123.5108676,45.96919721,243
90486.31666,-123.5087842,45.96928058,222
90637.63157,-123.5067007,45.96936395,208
90788.94648,-123.5046172,45.96944732,208
90940.26139,-123.5025338,45.96953069,226
91091.5763,-123.5004503,45.96961407,248
91242.89121,-123.4983669,45.96969744,226
91394.20613,-123.4962834,45.96978081,193
91545.52104,-123.4941999,45.96986418,192
91696.83595,-123.4921165,45.96994755,196
91848.15086,-123.490033,45.97003093,193
91999.46577,-123.4879496,45.9701143,203
92150.78068,-123.4858661,45.97019767,239
92302.09559,-123.4837826,45.97028104,289
92453.4105,-123.4816992,45.97036441,327
92604.72541,-123.4796157,45.97044778,338
92756.04032,-123.4775323,45.97053116,308
92907.35523,-123.4754488,45.97061453,296
93058.67014,-123.4733654,45.9706979,310
93209.98506,-123.4712819,45.97078127,289
93361.29997,-123.4691984,45.97086464,290
93512.61488,-123.467115,45.97094802,292
93663.92979,-123.4650315,45.97103139,281
93815.2447,-123.4629481,45.97111476,267
93966.55961,-123.4608646,45.97119813,241
94117.87452,-123.4587811,45.9712815,249
94269.18943,-123.4566977,45.97136487,318
94420.50434,-123.4546142,45.97144825,323
94571.81925,-123.4525308,45.97153162,279
94723.13416,-123.4504473,45.97161499,234
94874.44907,-123.4483638,45.97169836,225
95025.76398,-123.4462804,45.97178173,231
95177.0789,-123.4441969,45.97186511,224
95328.39381,-123.4421135,45.97194848,205
95479.70872,-123.44003,45.97203185,204
95631.02363,-123.4379465,45.97211522,196
95782.33854,-123.4358631,45.97219859,245
95933.65345,-123.4337796,45.97228196,265
96084.96836,-123.4316962,45.97236534,253
96236.28327,-123.4296127,45.97244871,235
96387.59818,-123.4275292,45.97253208,201
96538.91309,-123.4254458,45.97261545,182
96690.228,-123.4233623,45.97269882,167
96841.54291,-123.4212789,45.97278219,161
96992.85783,-123.4191954,45.97286557,171
97144.17274,-123.4171119,45.97294894,153
97295.48765,-123.4150285,45.97303231,148
97446.80256,-123.412945,45.97311568,153
97598.11747,-123.4108616,45.97319905,160
97749.43238,-123.4087781,45.97328243,183
97900.74729,-123.4066947,45.9733658,210
98052.0622,-123.4046112,45.97344917,253
98203.37711,-123.4025277,45.97353254,246
98354.69202,-123.4004443,45.97361591,220
98506.00693,-123.3983608,45.97369928,198
98657.32184,-123.3962774,45.97378266,171
98808.63676,-123.3941939,45.97386603,180
98959.95167,-123.3921104,45.9739494,204
99111.26658,-123.390027,45.97403277,230
99262.58149,-123.3879435,45.97411614,247
99413.8964,-123.3858601,45.97419952,226
99565.21131,-123.3837766,45.97428289,199
99716.52622,-123.3816931,45.97436626,179
99867.84113,-123.3796097,45.97444963,166
100019.156,-123.3775262,45.974533,172
100170.471,-123.3754428,45.97461637,186
100321.7859,-123.3733593,45.97469975,181
100473.1008,-123.3712758,45.97478312,178
100624.4157,-123.3691924,45.97486649,162
